"","item","label","duration","intensity","cog","sdev","skew","kurt"
"163","SN21","B4_SN21_1_s.wav",0.1502083333,51.64265873,5488.724894,1511.250196,1.515524706,3.962229929
"164","SN21","B4_SN21_2_s.wav",0.1427083333,55.59148911,4637.46522,1317.772043,2.215398253,7.923126454
"165","SN3","B3_SN3_2_s.wav",0.1518958333,48.56056417,7684.969424,2203.932781,0.2731922763,0.3529301993
"166","SN3","B3_SN3_1_s.wav",0.1713958333,46.92566173,6941.469229,1927.79181,0.5890539491,1.193980071
"167","SN3","B3_SN3_3_s.wav",0.1437916667,48.761471,6748.099349,2196.907739,0.5249104844,0.4957901365
"168","SN3","B2_SN3_2_s.wav",0.1138541667,51.78586903,6008.605495,1877.023603,0.4996088277,-0.6181080332
"169","SN3","B6_SN3_2_s.wav",0.132125,49.45283754,5938.479395,1824.731044,0.8968603489,-0.1090952823
"170","SN3","B4_SN3_2_s.wav",0.1156041667,51.56524851,5444.211751,2024.484046,1.177632459,0.8548590109
"171","SN3","B6_SN3_1_s.wav",0.1202083333,49.04497591,5295.765589,1696.246778,0.6829076391,-0.2164124131
"172","SN3","B2_SN3_3_s.wav",0.1020208333,52.64862455,5294.148841,1241.846122,2.111247251,5.387802979
"173","SN3","B6_SN3_3_s.wav",0.1164375,48.64884011,4733.290116,1085.054571,2.727286363,11.7807597
"174","SN3","B4_SN3_1_s.wav",0.1214791667,53.81514977,3735.230541,1503.344547,1.876964776,4.816634805
"175","SN3","B4_SN3_3_s.wav",0.1275208333,54.09138367,3409.385403,1422.083867,2.051025866,5.392871672
"176","SN3","B2_SN3_1_s.wav",0.1032916667,48.77744394,852.4795897,421.8703816,6.037389303,64.95504114
"177","SN4","B3_SN4_2_s.wav",0.1703333333,47.46309294,7192.358803,2657.758832,0.0384418349,-0.8699334539
"178","SN4","B6_SN4_2_s_alt.wav",0.151625,49.71039831,7140.018941,2598.952258,0.2181160055,-1.256308942
"179","SN4","B3_SN4_3_s.wav",0.1982083333,48.97022891,6737.665382,2333.719914,0.7034137419,0.09292551751
"180","SN4","B6_SN4_3_s.wav",0.1639583333,51.06557295,6658.130418,2430.638092,-0.013913068,-1.395982128
